"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
33.19,2.97651213949168E-05,9.58926171433076E-05,0.911705887636583,-0.410759810319914,0.911705887636582,-0.410759810319913,5.21433005931852E-05,8.57916319635747E-05
33.2,2.98265402186234E-05,9.5975054015275E-05,0.911564141498685,-0.411070414503993,0.911564141498684,-0.411070414503992,5.22247755917455E-05,8.58549350658347E-05
33.21,2.98880182175373E-05,9.60575093562094E-05,0.911422364142128,-0.411380855336792,0.911422364142127,-0.411380855336791,5.23062985680588E-05,8.59182546840332E-05
33.22,2.99495554364272E-05,9.61399830583992E-05,0.911280555527044,-0.411691132870125,0.911280555527043,-0.411691132870123,5.23878694921576E-05,8.5981590725352E-05
33.23,3.00111519200496E-05,9.62224750141261E-05,0.911138715613923,-0.412001247156618,0.911138715613922,-0.412001247156617,5.24694883341135E-05,8.6044943097038E-05
33.24,3.00728077131494E-05,9.63049851156653E-05,0.91099684436361,-0.412311198249713,0.910996844363609,-0.412311198249712,5.25511550640365E-05,8.61083117064026E-05
33.25,3.01345228604576E-05,9.63875132552843E-05,0.910854941737301,-0.412620986203647,0.9108549417373,-0.412620986203646,5.26328696520738E-05,8.61716964608229E-05
33.26,3.01962974066917E-05,9.64700593252442E-05,0.910713007696542,-0.412930611073458,0.910713007696541,-0.412930611073457,5.27146320684105E-05,8.62350972677411E-05
33.27,3.02581313965546E-05,9.65526232177992E-05,0.910571042203226,-0.413240072914973,0.910571042203225,-0.413240072914971,5.2796442283268E-05,8.62985140346652E-05
33.28,3.03200248747337E-05,9.66352048251957E-05,0.910429045219593,-0.413549371784797,0.910429045219592,-0.413549371784796,5.28783002669036E-05,8.63619466691685E-05
33.29,3.03819778859007E-05,9.67178040396738E-05,0.910287016708226,-0.413858507740317,0.910287016708224,-0.413858507740316,5.29602059896105E-05,8.6425395078891E-05
33.3,3.04439904747104E-05,9.68004207534658E-05,0.910144956632047,-0.414167480839687,0.910144956632046,-0.414167480839686,5.30421594217166E-05,8.64888591715383E-05
33.31,3.05060626858001E-05,9.68830548587972E-05,0.910002864954319,-0.414476291141825,0.910002864954318,-0.414476291141824,5.31241605335845E-05,8.65523388548824E-05
33.32,3.0568194563789E-05,9.69657062478859E-05,0.909860741638642,-0.414784938706406,0.909860741638641,-0.414784938706405,5.32062092956101E-05,8.6615834036762E-05
33.33,3.06303861532775E-05,9.70483748129431E-05,0.90971858664895,-0.415093423593855,0.909718586648949,-0.415093423593854,5.32883056782235E-05,8.66793446250826E-05
33.34,3.06926374988463E-05,9.71310604461721E-05,0.909576399949511,-0.415401745865343,0.909576399949509,-0.415401745865342,5.33704496518867E-05,8.67428705278163E-05
