"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
33.29,-0.395359637144953,-0.280267404145981,0.506396166107624,-0.71205331748122,0.506396166107622,-0.71205331748122,-0.39537471535924,-0.280246162538471
33.3,-0.395335434711156,-0.280110835981899,0.506259335479228,-0.71222304663476,0.506259335479226,-0.71222304663476,-0.3953505213406,-0.280089573235621
33.31,-0.39531145994171,-0.279954330238697,0.506122232725869,-0.712392752432825,0.506122232725868,-0.712392752432824,-0.395326554966187,-0.279933046336619
33.32,-0.395287712057967,-0.279797886989804,0.505984858505886,-0.712562434485994,0.505984858505884,-0.712562434485994,-0.395302815457425,-0.279776581914873
33.33,-0.395264190283825,-0.279641506307117,0.505847213475741,-0.712732092406784,0.505847213475739,-0.712732092406783,-0.395279302038286,-0.279620180042262
33.34,-0.39524089384572,-0.279485188261022,0.505709298290038,-0.712901725809633,0.505709298290036,-0.712901725809633,-0.39525601393528,-0.27946384078915
33.35,-0.395217821972617,-0.279328932920395,0.505571113601525,-0.713071334310899,0.505571113601523,-0.713071334310899,-0.395232950377444,-0.279307564224394
33.36,-0.395194973895999,-0.279172740352617,0.505432660061102,-0.713240917528848,0.505432660061101,-0.713240917528847,-0.395210110596335,-0.279151350415357
33.37,-0.395172348849854,-0.279016610623587,0.505293938317832,-0.713410475083641,0.505293938317831,-0.713410475083641,-0.395187493826012,-0.278995199427918
33.38,-0.395149946070669,-0.278860543797727,0.505154949018945,-0.713580006597337,0.505154949018943,-0.713580006597337,-0.395165099303036,-0.278839111326479
33.39,-0.395127764797421,-0.278704539937997,0.505015692809847,-0.713749511693874,0.505015692809846,-0.713749511693874,-0.395142926266455,-0.278683086173981
33.4,-0.395105804271562,-0.278548599105902,0.504876170334129,-0.713918989999065,0.504876170334127,-0.713918989999065,-0.395120973957792,-0.278527124031911
33.41,-0.395084063737015,-0.278392721361504,0.504736382233573,-0.714088441140592,0.504736382233572,-0.714088441140592,-0.395099241621042,-0.278371224960314
33.42,-0.39506254244016,-0.278236906763433,0.504596329148161,-0.714257864747993,0.504596329148159,-0.714257864747992,-0.395077728502656,-0.2782153890178
33.43,-0.395041239629825,-0.278081155368894,0.504456011716079,-0.714427260452658,0.504456011716077,-0.714427260452657,-0.395056433851535,-0.278059616261557
33.44,-0.395020154557282,-0.277925467233682,0.504315430573729,-0.714596627887818,0.504315430573728,-0.714596627887818,-0.395035356919018,-0.277903906747361
33.45,-0.394999286476227,-0.277769842412186,0.504174586355735,-0.71476596668854,0.504174586355734,-0.71476596668854,-0.395014496958876,-0.277748260529585
33.46,-0.394978634642782,-0.277614280957404,0.504033479694948,-0.714935276491716,0.504033479694947,-0.714935276491716,-0.394993853227297,-0.277592677661208
33.47,-0.394958198315474,-0.277458782920951,0.503892111222455,-0.715104556936056,0.503892111222454,-0.715104556936056,-0.394973424982881,-0.277437158193828
33.48,-0.394937976755238,-0.277303348353068,0.503750481567587,-0.715273807662083,0.503750481567586,-0.715273807662083,-0.394953211486631,-0.277281702177669
33.49,-0.394917969225396,-0.27714797730263,0.503608591357925,-0.71544302831212,0.503608591357923,-0.71544302831212,-0.39493321200194,-0.27712630966159
33.5,-0.394898174991655,-0.276992669817163,0.503466441219307,-0.715612218530286,0.503466441219306,-0.715612218530286,-0.394913425794584,-0.276970980693099
